Start,Finish,Heart Rate (count/min)
07-Oct-2018 15:51,07-Oct-2018 15:51,59.0
07-Oct-2018 15:52,07-Oct-2018 15:52,59.0
07-Oct-2018 15:53,07-Oct-2018 15:53,69.0
07-Oct-2018 15:53,07-Oct-2018 15:53,55.0
07-Oct-2018 15:53,07-Oct-2018 15:53,61.0
07-Oct-2018 15:53,07-Oct-2018 15:53,61.0
07-Oct-2018 15:53,07-Oct-2018 15:53,59.0
07-Oct-2018 15:53,07-Oct-2018 15:53,62.0
07-Oct-2018 15:53,07-Oct-2018 15:53,56.0
07-Oct-2018 15:53,07-Oct-2018 15:53,57.0
07-Oct-2018 15:53,07-Oct-2018 15:53,61.0
07-Oct-2018 15:53,07-Oct-2018 15:53,63.0
07-Oct-2018 15:53,07-Oct-2018 15:53,59.0
07-Oct-2018 15:54,07-Oct-2018 15:54,79.0
07-Oct-2018 15:54,07-Oct-2018 15:54,81.0
07-Oct-2018 15:54,07-Oct-2018 15:54,82.0
07-Oct-2018 15:54,07-Oct-2018 15:54,87.0
07-Oct-2018 15:54,07-Oct-2018 15:54,87.0
07-Oct-2018 15:55,07-Oct-2018 15:55,58.0
07-Oct-2018 15:55,07-Oct-2018 15:55,55.0
07-Oct-2018 15:55,07-Oct-2018 15:55,56.0
07-Oct-2018 15:55,07-Oct-2018 15:55,55.0
07-Oct-2018 15:55,07-Oct-2018 15:55,91.0
07-Oct-2018 15:55,07-Oct-2018 15:55,93.0
07-Oct-2018 15:55,07-Oct-2018 15:55,91.0
07-Oct-2018 15:55,07-Oct-2018 15:55,85.0
07-Oct-2018 15:55,07-Oct-2018 15:55,78.0
07-Oct-2018 15:56,07-Oct-2018 15:56,72.0
07-Oct-2018 15:56,07-Oct-2018 15:56,72.0
07-Oct-2018 15:56,07-Oct-2018 15:56,92.0
07-Oct-2018 15:56,07-Oct-2018 15:56,93.0
07-Oct-2018 15:56,07-Oct-2018 15:56,93.0
07-Oct-2018 15:57,07-Oct-2018 15:57,50.0
07-Oct-2018 15:57,07-Oct-2018 15:57,80.0
07-Oct-2018 15:59,07-Oct-2018 15:59,69.0
07-Oct-2018 15:59,07-Oct-2018 15:59,73.0
07-Oct-2018 15:59,07-Oct-2018 15:59,73.0
07-Oct-2018 15:59,07-Oct-2018 15:59,72.0
07-Oct-2018 15:59,07-Oct-2018 15:59,71.0
07-Oct-2018 16:00,07-Oct-2018 16:00,59.0
07-Oct-2018 16:01,07-Oct-2018 16:01,63.0
07-Oct-2018 16:01,07-Oct-2018 16:01,62.0
07-Oct-2018 16:01,07-Oct-2018 16:01,69.0
07-Oct-2018 16:01,07-Oct-2018 16:01,66.0
07-Oct-2018 16:01,07-Oct-2018 16:01,72.0
07-Oct-2018 16:01,07-Oct-2018 16:01,73.0
07-Oct-2018 16:01,07-Oct-2018 16:01,68.0
07-Oct-2018 16:01,07-Oct-2018 16:01,68.0
07-Oct-2018 16:02,07-Oct-2018 16:02,81.0
07-Oct-2018 16:02,07-Oct-2018 16:02,79.0
07-Oct-2018 16:02,07-Oct-2018 16:02,76.0
07-Oct-2018 16:02,07-Oct-2018 16:02,73.0
07-Oct-2018 16:02,07-Oct-2018 16:02,46.0
07-Oct-2018 16:02,07-Oct-2018 16:02,72.0
07-Oct-2018 16:02,07-Oct-2018 16:02,64.0
07-Oct-2018 16:02,07-Oct-2018 16:02,61.0
